鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
前鎮區,房地(土地+建物)+車位,高雄市前鎮區光華三路241~270號,18.51,商,,,1060301,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0951121,211.69,4,2,2,有,有,有,40000,189,坡道平面,21.96,0,,RPTNMLOJLHMFFCE28CC
前鎮區,房地(土地+建物),高雄市前鎮區民權二路1~30號,45.74,商,,,1060306,土地1建物1車位0,三十層,37,辦公商業大樓,商業用,鋼造,0801030,1159.47,0,0,0,無,有,無,105000,91,,0.0,0,半年,RPSNMLSJLHMFFCE58CC
小港區,房地(土地+建物)+車位,高雄市小港區翠亨南路211~240號,20.64,其他,,,1060307,土地1建物1車位1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030731,139.65,2,2,2,有,有,有,20000,143,坡道機械,12.64,0,,RPXNMLTJLHMFFCE56CC
前鎮區,房地(土地+建物)+車位,高雄市前鎮區鄭和南路361~390號,24.39,商,,,1060303,土地1建物1車位2,五層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960509,301.43,4,2,2,有,有,有,43000,143,坡道平面,47.72,0,,RPVPMLKKLHMFFCE38CC
前鎮區,建物,高雄市前鎮區中山二路1~30號,0.0,商,,,1060307,土地0建物1車位1,十四層,28,辦公商業大樓,商業用,鋼筋混凝土造,0870714,192.43,0,0,0,無,有,無,25500,133,坡道平面,0.0,0,租金含坡道平面車位1個.第一年每月租金25500元.第二年每月租金26000元,RPROMLNKLHMFFCE18CC
前鎮區,房地(土地+建物)+車位,高雄市前鎮區中華五路1441~1470號,10.39,商,,,1060225,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950314,82.35,2,2,1,有,無,有,18500,225,坡道平面,24.17,0,,RPXNMLQKLHMFFCE98CC
苓雅區,建物,高雄市苓雅區海邊路1~30號,0.0,商,,,1060315,土地0建物1車位3,十九層,28,辦公商業大樓,商業用,鋼骨混凝土造,0810914,415.16,0,0,0,無,有,無,55000,132,坡道平面,0.0,0,屋主自行格開分租.租55000元(含3個坡道平面車位),RPTNMLQKLHMFFBE48CC
苓雅區,建物,高雄市苓雅區海邊路31~60號,0.0,商,,,1060309,土地0建物1車位0,十四層,27,辦公商業大樓,商業用,鋼造,0860212,467.91999999999996,0,0,0,無,有,無,54246,116,,0.0,0,兩戶一起出租,RPVNMLQKLHMFFBE68CC
新興區,建物,高雄市新興區民權一路241~270號,0.0,商,,,1060315,土地0建物1車位2,二十三層,28,辦公商業大樓,商業用,鋼筋混凝土造,0820304,700.05,0,0,0,無,有,無,70000,100,坡道機械,0.0,0,,RPXNMLQKLHMFFBE88CC
苓雅區,房地(土地+建物),高雄市苓雅區正言路31~60號,63.0,商,,,1060316,土地1建物1車位0,見其他登記事項,3,店面(店鋪),,加強磚造,0630924,155.7,5,2,5,有,無,無,30000,193,,0.0,0,,RPSNMLRKLHMFFBE48CC
苓雅區,建物,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1060315,土地0建物1車位0,二十三層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,147.12,3,2,2,有,有,無,14000,95,,0.0,0,,RPUNMLRKLHMFFBE68CC
苓雅區,房地(土地+建物),高雄市苓雅區苓雅二路91~120號,61.0,商,,,1060311,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0630528,241.75,3,2,4,有,無,無,45000,186,,0.0,0,,RPVNMLRKLHMFFBE78CC
苓雅區,房地(土地+建物),高雄市苓雅區文橫二路31~60號,26.66,商,,,1060315,土地1建物1車位0,全,3,透天厝,,加強磚造,0620221,53.9,0,0,0,無,無,無,19000,353,,0.0,0,,RPWNMLRKLHMFFBE88CC
苓雅區,建物,高雄市苓雅區大順三路1~30號,22.88,住,,,1060221,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680108,85.87,2,2,2,有,無,無,7500,87,,0.0,0,,RPOOMLRKLHMFFBE18CC
新興區,房地(土地+建物)+車位,高雄市新興區林森一路241~270號,9.22,商,,,1060306,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050413,107.02000000000001,2,2,1,有,有,有,21000,196,坡道機械,14.89,0,,RPPOMLRKLHMFFBE28CC
前鎮區,房地(土地+建物),高雄市前鎮區新光路1~30號,1.28,住,,,1060315,土地1建物1車位0,五層,37,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0880209,40.29,1,1,1,有,有,有,8500,211,,0.0,0,,RPTNMLRKLHMFFCE68CC
前鎮區,房地(土地+建物),高雄市前鎮區中山二路181~210號,5.4,商,,,1060303,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981224,71.12,1,1,1,有,有,有,22000,309,,0.0,0,,RPXNMLRKLHMFFCE09CC
前鎮區,建物,高雄市前鎮區成功二路1~30號,0.0,其他,,,1060317,土地0建物1車位1,七層,14,辦公商業大樓,見其它登記事項,見其它登記事項,1050224,192.95,0,0,0,無,有,無,48900,253,坡道平面,0.0,0,租金48900元含坡道平面車位1個,RPQOMLRKLHMFFCE48CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區博愛二路331~360號,3.88,商,,,1060224,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940802,85.8,2,1,1,有,無,有,15000,175,坡道平面,18.05,0,,RPTNMLRKLHMFFAE48CC
鼓山區,土地,龍華段三小段691~720地號,30.0,其他,,,1060313,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,6000,200,,0.0,0,租用2樓未保存登記建物1間房間,RPUNMLRKLHMFFAE58CC
前金區,房地(土地+建物),高雄市前金區河東路1~30號,267.53,商,,,1051201,土地2建物3車位0,見其它登記事項,12,店面(店鋪),,鋼筋混凝土造,0701203,1313.5,0,0,0,無,有,無,180000,137,,0.0,0,,RPQOMLRKLHMFFAE28CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區青海路31~60號,22.63,住,,,1060304,土地1建物1車位1,十五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020619,147.16,4,2,2,有,有,有,30000,204,坡道平面,26.86,0,,RPROMLRKLHMFFAE38CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明誠四路181~210號,25.18,商,,,1060303,土地1建物1車位1,九層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941121,257.74,4,2,2,有,有,有,39000,151,坡道平面,41.16,0,,RPTOMLRKLHMFFAE58CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路61~90號,16.34,住,,,1060302,土地1建物1車位0,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020805,111.73,3,2,2,有,有,有,32000,286,坡道平面,18.77,0,,RPUOMLRKLHMFFAE68CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北五街31~60號,7.83,住,,,1060306,土地1建物1車位0,三層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020301,204.63,3,2,2,有,有,有,31000,151,坡道平面,16.66,0,,RPVOMLRKLHMFFAE78CC
鼓山區,房地(土地+建物),高雄市鼓山區裕誠路1051~1080號,7.24,商,,,1060309,土地1建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950407,78.48,2,1,1,有,無,有,13500,172,,0.0,0,,RPWOMLRKLHMFFAE88CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區大順一路601~630號,12.38,商,,,1060304,土地1建物1車位1,二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020409,182.55,3,2,2,有,有,有,28000,153,坡道平面,23.12,0,,RPOPMLRKLHMFFAE18CC
三民區,建物,高雄市三民區河北一路91~120號,12.75,商,,,1060217,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681122,38.9,2,1,1,有,無,無,10000,257,,0.0,0,,RPSOMLRKLHMFFDE78CC
鳳山區,建物,高雄市鳳山區新富路422巷1~30號,0.0,住,,,1060226,土地0建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0931118,110.5,3,2,2,有,有,有,14000,127,,0.0,0,,RPUPMLRKLHMFFGE76CC
鳥松區,房地(土地+建物)+車位,高雄市鳥松區和盛街1~30號,58.81,住,,,1060303,土地1建物1車位2,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880630,451.17999999999995,6,2,5,有,有,有,50000,111,坡道平面,56.24,0,,RPSNMLRKLHMFFIE56CC
鳳山區,房地(土地+建物),高雄市鳳山區信義街271~300號,130.0,住,,,1060315,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,0581016,109.88,2,2,2,有,無,有,23000,209,,0.0,0,,RPWNMLSKLHMFFGE86CC
三民區,土地,大豐段一小段271~300地號,601.0,住,,,1060310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,40000,67,,0.0,0,,RPQNMLSKLHMFFDE58CC
